image_id,nucleus_id,x_min,y_min,x_max,y_max,centroid_x,centroid_y
human_bladder_08.png,1,410,10,463,45,440.55578727841504,25.903023983315954
human_bladder_08.png,2,441,28,490,68,464.61819727891157,46.916666666666664
human_bladder_08.png,3,362,37,429,91,392.81838819523267,63.25539160045403
human_bladder_08.png,4,0,51,38,81,16.86904761904762,65.6954365079365
human_bladder_08.png,5,61,65,110,116,86.11387163561076,90.47895100069013
human_bladder_08.png,6,445,83,512,114,469.43947368421055,97.78947368421052
human_bladder_08.png,7,26,89,79,115,50.09536307961505,101.60454943132109
human_bladder_08.png,8,476,91,512,111,494.9457700650759,99.06290672451193
human_bladder_08.png,9,461,108,512,142,485.50867579908675,122.1662100456621
human_bladder_08.png,10,0,139,44,170,17.482142857142858,150.34880952380954
human_bladder_08.png,11,458,153,512,205,485.6565217391304,180.87101449275363
human_bladder_08.png,12,259,194,328,226,294.962962962963,210.43594414086218
human_bladder_08.png,13,487,198,512,229,501.13761467889907,214.914373088685
human_bladder_08.png,14,220,216,270,290,243.3380423814329,252.9616548940464
human_bladder_08.png,15,4,229,29,252,15.938636363636364,240.65227272727273
human_bladder_08.png,16,309,258,376,304,345.22352176738144,278.3190383365822
human_bladder_08.png,17,275,267,325,308,299.54186413902056,286.2527646129542
human_bladder_08.png,18,380,287,441,330,411.7332854061826,308.69949676491734
human_bladder_08.png,19,216,342,268,405,237.5708397733127,369.28902627511593
human_bladder_08.png,20,239,389,295,456,262.6565452091768,420.97638326585695
human_bladder_08.png,21,488,409,512,445,501.82954545454544,430.63257575757575
human_bladder_08.png,22,377,418,435,456,406.4891304347826,436.8611111111111
human_bladder_08.png,23,276,424,343,495,306.58987875593044,455.59462308908803
human_bladder_08.png,24,430,484,481,512,456.6813063063063,497.39414414414415
human_bladder_08.png,25,318,489,379,512,348.2929292929293,500.43356643356645
human_bladder_08.png,26,408,499,438,512,421.1793313069909,505.4012158054711
human_bladder_09.png,1,0,0,14,9,5.9,3.21
human_bladder_09.png,2,48,0,70,28,56.22142857142857,8.882142857142858
human_bladder_09.png,3,85,0,108,14,97.24137931034483,5.25
human_bladder_09.png,4,158,0,183,27,170.35883424408016,12.105646630236794
human_bladder_09.png,5,54,11,77,57,65.0013986013986,33.27552447552448
human_bladder_09.png,6,494,29,512,84,503.0928829915561,57.691194209891435
human_bladder_09.png,7,0,85,26,124,11.745358090185677,105.1896551724138
human_bladder_09.png,8,221,97,246,135,233.1045197740113,115.78672316384181
human_bladder_09.png,9,54,144,87,187,68.00778210116732,166.12645914396887
human_bladder_09.png,10,187,183,223,233,205.85691188358933,209.08084074373485
human_bladder_09.png,11,129,204,152,234,142.6289156626506,216.86987951807228
human_bladder_09.png,12,117,217,142,252,128.67666666666668,235.03833333333333
human_bladder_09.png,13,399,254,429,278,414.66132264529057,265.4689378757515
human_bladder_09.png,14,366,277,417,333,390.5743338008415,302.87447405329596
human_bladder_09.png,15,345,302,371,335,356.8550724637681,319.34057971014494
human_bladder_09.png,16,144,307,168,336,157.0339366515837,320.3868778280543
human_bladder_09.png,17,138,327,159,349,146.91076923076923,339.0123076923077
human_bladder_09.png,18,69,343,117,390,93.23144876325088,366.1060070671378
human_bladder_09.png,19,41,360,81,387,59.42450495049505,373.20668316831683
human_bladder_09.png,20,416,361,428,376,422.35074626865674,367.8955223880597
human_bladder_09.png,21,3,396,38,426,20.18978102189781,409.95620437956205
human_bladder_09.png,22,98,413,128,438,115.25587467362924,422.4621409921671
human_bladder_09.png,23,88,426,115,448,100.42439024390244,436.5390243902439
human_bladder_09.png,24,364,446,380,466,371.44621513944224,455.50597609561754
human_bladder_09.png,25,387,463,442,512,414.0120481927711,486.3056436271401
human_bladder_09.png,26,149,491,167,505,157.56923076923076,497.12820512820514
human_bladder_09.png,27,459,493,499,512,478.27385892116183,503.8713692946058
human_bladder_09.png,28,318,495,361,512,342.0126811594203,504.2971014492754
